hospital_id,code,code_type,cdm_code,rev_code,description,gross_charge,discounted_cash,setting
san_ramon,76377,CPT,5057637,350,3D IMAGING W POSTPROCESS,4168.0,3126.0,both
san_ramon,83883,CPT,7253868,300,A-2 MACROGLOBULIN,16.29,12.22,both
san_ramon,,,5412009,258,AA 4.25% D10 EL/CA 2LTPN,1106.0,829.5,both
san_ramon,,,5412026,258,AA 4.25% D10 ELEC 1L TPN,647.0,485.25,both
san_ramon,,,5412033,258,AA 5% D15 EL/CA 1L TPN,613.0,459.75,both
san_ramon,,,5412004,258,AA 5% D15 EL/CA 2L TPN,1167.0,875.25,both
san_ramon,,,5412021,258,AA 5% D20 EL/CA 1L TPN,617.0,462.75,both
san_ramon,,,5412003,258,AA 5% D20 EL/CA 2L TPN,1186.0,889.5,both
san_ramon,,,5300023,250,ABACAVIR/DOLUT/LAMIV TB,804.0,603.0,both
san_ramon,,,5300023,637,ABACAVIR/DOLUT/LAMIV TB,804.0,603.0,both
san_ramon,75630,CPT,4615631,320,ABD AORTA W/BI LWR EXT,19591.0,14693.25,both
san_ramon,75625,CPT,4615627,320,ABD AORTOGRPHY BY SERIAL,12393.0,9294.75,both
san_ramon,93975,CPT,5062015,921,ABD ART/VEN FLOW ABD COMP,5742.0,4306.5,both
san_ramon,93976,CPT,5062017,921,ABD ART/VEN FLOW LTD,2871.0,2153.25,both
san_ramon,,,4619083,360,ABD PARACENTESIS W/IMAGE,7679.0,5759.25,both
san_ramon,,,5059083,360,ABD PARACENTESIS W/IMAGE,8878.0,6658.5,both
san_ramon,,,5069083,360,ABD PARACENTESIS W/IMAGE,7573.0,5679.75,both
san_ramon,,,5069082,360,ABD PARACENTESIS W/OIMAG,3835.0,2876.25,both
san_ramon,74018,CPT,4904018,320,ABDOMEN 1 VIEW,1779.0,1334.25,both
san_ramon,74019,CPT,4904019,320,ABDOMEN 2 VIEWS,2936.0,2202.0,both
san_ramon,74022,CPT,4904022,320,ABDOMEN 2+VWS SNGL VW CHEST,3609.0,2706.75,both
san_ramon,74021,CPT,4904021,320,ABDOMEN 3/+ VIEWS,2560.0,1920.0,both
san_ramon,76010,CPT,4904030,320,ABDOMEN/CHEST DET FORBDY,1833.0,1374.75,both
san_ramon,82803,CPT,5501806,300,ABG W CALC O2 SAT,855.0,641.25,both
san_ramon,82805,CPT,5500152,300,ABG W O2 DIRECT,3012.0,2259.0,both
san_ramon,,,5300019,250,ABIRATERONE 250MG TB,146.0,109.5,both
san_ramon,,,5300019,637,ABIRATERONE 250MG TB,146.0,109.5,both
san_ramon,,,5050593,360,ABLATN RENL TUMORS CRYO,5086.0,3814.5,both
san_ramon,,,5318004,250,ACETAZOLAMI UPTO 500MGIJ,765.0,573.75,both
san_ramon,,,5318004,636,ACETAZOLAMI UPTO 500MGIJ,765.0,573.75,both
san_ramon,,,5300102,250,ACETAZOLAMID 500MG XR CP,124.0,93.0,both
san_ramon,,,5300102,637,ACETAZOLAMID 500MG XR CP,124.0,93.0,both
san_ramon,,,5300098,250,ACETAZOLAMIDE 250MG TB,71.0,53.25,both
san_ramon,,,5300098,637,ACETAZOLAMIDE 250MG TB,71.0,53.25,both
san_ramon,,,5414015,270,ACETIC ACID.25% 1L IRR,320.0,240.0,both
san_ramon,82010,CPT,4102012,300,ACETONE QUANTITATIVE/3,1766.0,1324.5,both
san_ramon,,,5330044,250,ACETYLCHOLINE CL1%2ML OS,687.0,515.25,both
san_ramon,,,5318016,250,ACETYLCYSTEIN PER100MGIJ,27.0,20.25,both
san_ramon,,,5318016,636,ACETYLCYSTEIN PER100MGIJ,27.0,20.25,both
san_ramon,,,5330079,250,ACETYLCYSTEINE 20%4ML IS,153.0,114.75,both
san_ramon,,,5330086,250,ACETYLCYSTEINE20%10ML IS,1874.0,1405.5,both
san_ramon,83519,CPT,7258385,300,ACHR ANTIBODY/3,30.0,22.5,both
san_ramon,73050,CPT,4903050,320,ACROMIOCLAVICULAR JTS BI,1952.0,1464.0,both
san_ramon,82024,CPT,7252024,300,ACTH,5.75,4.31,both
san_ramon,86015,CPT,7250516,300,ACTIN SMOOTH MUSCLE AB,5.29,3.97,both
san_ramon,86602,CPT,7256602,300,ACTINOMYCES AB/3,25.6,19.2,both
san_ramon,86602,CPT,7256604,300,ACTINOMYCES AB/5,25.6,19.2,both
san_ramon,78278,CPT,5208280,341,ACUTE GI BLOOD LOSS IMG,10285.0,7713.75,both
san_ramon,80074,CPT,7250074,300,ACUTE HEPATITIS PANEL,15.74,11.81,both
san_ramon,,,5300160,250,ACYCLOVIR 200MG CP,104.0,78.0,both
san_ramon,,,5300160,637,ACYCLOVIR 200MG CP,104.0,78.0,both
san_ramon,,,5300162,250,ACYCLOVIR 400MG TB,153.0,114.75,both
san_ramon,,,5300162,637,ACYCLOVIR 400MG TB,153.0,114.75,both
san_ramon,,,5318015,250,ACYCLOVIR PER 5MG IJ,17.0,12.75,both
san_ramon,,,5318015,636,ACYCLOVIR PER 5MG IJ,17.0,12.75,both
san_ramon,83520,CPT,7258538,300,ADAMTS 13 AB,135.0,101.25,both
san_ramon,85397,CPT,7258539,300,ADAMTS 13 ACTIVITY,125.0,93.75,both
san_ramon,84311,CPT,7256366,300,ADENOSINE DEAMINASE,45.0,33.75,both
san_ramon,,,5318047,250,ADENOSINE PER 1MG IJ,62.0,46.5,both
san_ramon,,,5318047,636,ADENOSINE PER 1MG IJ,62.0,46.5,both
san_ramon,83520,CPT,7253593,300,ADIPONECTIN,172.67,129.5,both
san_ramon,,,1990028,199,ADMIN DAY ADULT LEVEL II,15454.0,11590.5,both
san_ramon,,,2010028,199,ADMIN DAY ADULT LEVEL II,15454.0,11590.5,both
san_ramon,,,2120028,199,ADMIN DAY ADULT LEVEL II,15454.0,11590.5,both
san_ramon,,,2150028,199,ADMIN DAY ADULT LEVEL II,15454.0,11590.5,both
san_ramon,,,2500028,199,ADMIN DAY ADULT LEVEL II,15454.0,11590.5,both
san_ramon,,,1990027,169,ADMIN DAY LEVEL I,15454.0,11590.5,both
san_ramon,,,2010027,169,ADMIN DAY LEVEL I,15454.0,11590.5,both
san_ramon,,,2120027,169,ADMIN DAY LEVEL I,15454.0,11590.5,both
san_ramon,,,2150027,169,ADMIN DAY LEVEL I,15454.0,11590.5,both
san_ramon,,,2500027,169,ADMIN DAY LEVEL I,15454.0,11590.5,both
san_ramon,,,4010671,278,ADPTR MOLD HIP SPCR NECK,3640.0,2730.0,both
san_ramon,94664,CPT,5500103,410,AER TX DEMO AND/OR EVAL,1789.0,1341.75,both
san_ramon,94640,CPT,5500105,410,AEROSOL TREATMENT,833.0,624.75,both
san_ramon,,,8130136,274,AFO ANT TIB SPIRAL,8915.0,6686.25,both
san_ramon,,,8130009,274,AFO MULTIGAM ANK SPRT,1784.0,1338.0,both
san_ramon,,,8130079,274,AFO PLSTC/OTHER PREFAB,3479.0,2609.25,both
san_ramon,,,8130065,274,AFO POST SLD AK PLST MLD,10630.0,7972.5,both
san_ramon,94728,CPT,5504728,460,AIRWAY RESIST OSCILLMTRY,2498.0,1873.5,both
san_ramon,,,5314119,250,AL/MG OH/SIM 30ML ES LQ,33.0,24.75,both
san_ramon,,,5314119,637,AL/MG OH/SIM 30ML ES LQ,33.0,24.75,both
san_ramon,,,5314131,250,AL/MG OH/SIM 30ML LQ,15.0,11.25,both
san_ramon,,,5314131,637,AL/MG OH/SIM 30ML LQ,15.0,11.25,both
san_ramon,82135,CPT,7252135,300,ALA DELTA AMINOLVLN ACID,27.04,20.28,both
san_ramon,82135,CPT,7252136,300,ALA DELTA AMINOLVLN ACID/2,26.23,19.67,both
san_ramon,,,5318063,250,ALBUMIN 25% PER 50ML IJ,1501.0,1125.75,both
san_ramon,,,5318063,636,ALBUMIN 25% PER 50ML IJ,1501.0,1125.75,both
san_ramon,,,5318032,250,ALBUMIN 5% PER 250ML IJ,1501.0,1125.75,both
san_ramon,,,5318032,636,ALBUMIN 5% PER 250ML IJ,1501.0,1125.75,both
san_ramon,,,5318031,250,ALBUMIN 5% PER 50ML IJ,774.0,580.5,both
san_ramon,,,5318031,636,ALBUMIN 5% PER 50ML IJ,774.0,580.5,both
san_ramon,82042,CPT,4102045,300,ALBUMIN QUANT OTH SRC/2,687.0,515.25,both
san_ramon,82042,CPT,4152045,300,ALBUMIN QUANT OTH SRC/2,307.0,230.25,both
san_ramon,82042,CPT,7252111,300,ALBUMIN QUANT OTH SRC/2,14.6,10.95,both
san_ramon,82040,CPT,4102040,300,ALBUMIN SERUM,90.0,67.5,both
san_ramon,82040,CPT,4152040,300,ALBUMIN SERUM,68.0,51.0,both
san_ramon,82040,CPT,7252040,300,ALBUMIN SERUM,2.85,2.14,both
san_ramon,,,5330116,250,ALBUTEROL .083% 3ML IS,143.0,107.25,both
san_ramon,,,5330116,637,ALBUTEROL .083% 3ML IS,143.0,107.25,both
san_ramon,,,5330115,250,ALBUTEROL .5% 20ML IS,353.0,264.75,both
san_ramon,,,5330115,637,ALBUTEROL .5% 20ML IS,353.0,264.75,both
san_ramon,,,5330126,250,ALBUTEROL 1.25MG/3ML IS,48.0,36.0,both
san_ramon,,,5330126,637,ALBUTEROL 1.25MG/3ML IS,48.0,36.0,both
san_ramon,,,5330113,250,ALBUTEROL HFA 18GM IH,627.0,470.25,both
san_ramon,,,5330113,637,ALBUTEROL HFA 18GM IH,627.0,470.25,both
san_ramon,,,5330120,250,ALBUTEROL HFA 6.7GM IH,546.0,409.5,both
san_ramon,,,5330120,637,ALBUTEROL HFA 6.7GM IH,546.0,409.5,both
san_ramon,,,5330112,250,ALBUTEROL HFA 8.5GM IH,446.0,334.5,both
san_ramon,,,5330112,637,ALBUTEROL HFA 8.5GM IH,446.0,334.5,both
san_ramon,,,5330123,250,ALBUTEROL/IPRATR 3ML IS,95.0,71.25,both
san_ramon,,,5330123,637,ALBUTEROL/IPRATR 3ML IS,95.0,71.25,both
san_ramon,,,5330125,250,ALBUTEROL2.5MG/.5ML UDIS,36.0,27.0,both
san_ramon,,,5330125,637,ALBUTEROL2.5MG/.5ML UDIS,36.0,27.0,both
san_ramon,80320,CPT,7252078,300,ALCOHOLS/4,10.0,7.5,both
san_ramon,82085,CPT,7252085,300,ALDOLASE,2.0,1.5,both
san_ramon,82088,CPT,7252087,300,ALDOSTERONE,4.23,3.17,both
san_ramon,,,4020486,278,ALLODERM PER SQ CM (IMPLANT),266.0,199.5,both
san_ramon,,,4027050,278,ALLOGRAFT CARTILAGE,34080.0,25560.0,both
san_ramon,,,4027051,278,ALLOGRFT AMNIOTIC MEMBRN,3132.0,2349.0,both
san_ramon,,,4027054,250,ALLOGRFT AMNIOTIC MEMBRN,8384.0,6288.0,both
san_ramon,,,4027054,636,ALLOGRFT AMNIOTIC MEMBRN,8384.0,6288.0,both
san_ramon,,,4020536,250,ALLOGRFT DERMIS CORTIVA,15715.0,11786.25,both
san_ramon,,,4020536,636,ALLOGRFT DERMIS CORTIVA,15715.0,11786.25,both
san_ramon,,,4027053,278,ALLOGRFT HEMI CONDYL FEM,111579.0,83684.25,both
san_ramon,,,4027055,278,ALLOGRFT HUM PLCNTL TISS,13967.0,10475.25,both
san_ramon,,,4020518,278,ALLOGRFT SCLERA TUTOPLST,2395.0,1796.25,both
san_ramon,,,4020587,278,ALLOGRFT TENDON PRESUTUR,11994.0,8995.5,both
san_ramon,,,4027060,278,ALLOGRFT TENFUSE PIP,22902.0,17176.5,both
san_ramon,,,4027061,250,ALLOGRFT UMBILICAL CORD,6233.0,4674.75,both
san_ramon,,,4027061,636,ALLOGRFT UMBILICAL CORD,6233.0,4674.75,both
san_ramon,,,5300244,250,ALLOPURINOL100MG TB,60.0,45.0,both
san_ramon,,,5300244,637,ALLOPURINOL100MG TB,60.0,45.0,both
san_ramon,,,5300248,250,ALLOPURINOL300MG TB,71.0,53.25,both
san_ramon,,,5300248,637,ALLOPURINOL300MG TB,71.0,53.25,both
san_ramon,,,4020521,250,ALLOWRAP DS OR DRY PER SQ CM,3065.0,2298.75,both
san_ramon,,,4020521,636,ALLOWRAP DS OR DRY PER SQ CM,3065.0,2298.75,both
san_ramon,86003,CPT,7256053,300,ALLRGN SPEC IGE EA/22,3.26,2.45,both
san_ramon,86005,CPT,7256009,300,ALLRGN SPEC IGE QL MULTI/2,3.26,2.45,both
san_ramon,86008,CPT,7250064,300,ALLRGN SPEC IGE RECOMB EA/2,3.26,2.45,both
san_ramon,86001,CPT,7256008,300,ALLRGN SPEC IGG EA/2,3.26,2.45,both
san_ramon,82105,CPT,7252114,300,ALPHA FETO PROTEIN SERUM,4.07,3.05,both
san_ramon,,,5318082,250,ALPHA1PROT INH PER10MGIJ,52.0,39.0,both
san_ramon,,,5318082,636,ALPHA1PROT INH PER10MGIJ,52.0,39.0,both
san_ramon,,,5300294,250,ALPRAZOLAM .25MG TB,71.0,53.25,both
san_ramon,,,5300294,637,ALPRAZOLAM .25MG TB,71.0,53.25,both
san_ramon,,,5300298,250,ALPRAZOLAM .5MG TB,95.0,71.25,both
san_ramon,,,5300298,637,ALPRAZOLAM .5MG TB,95.0,71.25,both
